kyu,waza,taijutsu,embeded,disco_tissier,otro
5,tachi waza,shomen uchi ikkyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/p-vZmfcqFus?si=FRr0M_vG50RI7k-p"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=26,https://youtu.be/WKDX0T6lxGM
5,tachi waza,katate dori kokyu nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/RHWFkHcyCps?si=B4XP6tb8eu_vEOT8&amp;start=24"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,https://youtu.be/POvsOnN6yM4?si=0ubuATmuaYr4y-6O&t=361
5,tachi waza,shomen uchi nikyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/VDc_cRWDaX8?si=MB_FfFr0ETON-XJb&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=104,
5,tachi waza,katate dori kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/yc7LJlZrfTQ?si=of-PP8kP-8KvnN6i"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1930,
4,suwari waza,kata dori nikyo omote,,,https://www.youtube.com/watch?v=BvtjG8GdeG0
4,suwari waza,kata dori nikyo ura ,,,
4,tachi waza,shomen uchi sankyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Lz1pEzkwfWU?si=t0-ySic8GOfvezJh&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=173,
4,tachi waza,shomen uchi sankyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=AdzkakmGQqoDvgO2&amp;clip=UgkxDXfN8hxEl6aS7yA0qYrdaELamppjF5sk&amp;clipt=EIC1CBi_wAo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=138,
4,tachi waza,ryote dori kokyu nage,,,https://youtu.be/POvsOnN6yM4?si=Q7-0ZyaKLVpf3BZh&t=623
4,tachi waza,ryote dori shiho nage omote ,,,
4,tachi waza,ryote dori shiho nage ura tachi osae ,,,
4,tachi waza,yokomen uchi irimi nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=blVGYn-4YqzgGJZm&amp;clip=UgkxEfsq1kqOTaeG16Y3kcQ2cGJ_D_Dk6cZc&amp;clipt=EM3rRxjek0k"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1177,
4,tachi waza,yokomen uchi shiho nage omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=1qaZoaFaZ0xYPmRj&amp;clip=Ugkx0tj04WQqD1xHFAaDUdYd-HZbvZGEDa0n&amp;clipt=EMiCIRjwxSI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=541,
4,tachi waza,yokomen uchi shiho nage (tenkan) ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=J3BD5Z9q7sPlaVHk&amp;clip=UgkxoWfOfh60Sik8nea3PZuh09tozkMlM7JF&amp;clipt=EKzLIhjz4iM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=566,
3,suwari waza,shomen uchi yonkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=MTPl5r4QootIItj9&amp;clip=Ugkx9MRSa0EjO4_n6vwHgjU9f7uz3uzo4T2n&amp;clipt=EPKSHhjuzB8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=493,
3,suwari waza,shomen uchi yonkyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=Xg9OXATN4-yQpFD6&amp;clip=Ugkxk8RAy5fpVdMZwJ6I93fqQUGq_jpAgxVl&amp;clipt=EMneHBigiR4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=470,
3,tachi waza,tsuki irimi nage,"<div class=""ratio ratio-16x9""><iframe <iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MqGzpRO31wQ?si=iki8DcNOzdw7UNnB"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div",https://youtu.be/CIXkFct9OtA?t=1242,
3,tachi waza,shomen uchi kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=5bZXzAbjzsRHCCdN&amp;clip=Ugkxczs8DZLCInSioB6ENmiClV_dSPxc8dcQ&amp;clipt=EMStfBjh2n0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=2037,
3,tachi waza,katate dori kaiten nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/F-V_gr4iOiM?si=rgwKTe98xSjpFFrG"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
3,tachi waza,shomen uchi yonkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/KWTFWqk-0i0?si=O-FizwJyIYm9r2xg&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=207,
3,tachi waza,shomen uchi yonkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/xJrHxi67-AE?si=c4YTXXdiOyP4G0dI&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=235,
3,tachi waza,tsuki kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/ZA3MyX2y-Rk?si=kixpzpvJJU9isaIK&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=2107,
3,tachi waza,katate dori kokyu nage antes de ser tomado,,,
3,tachi waza,katate dori shiho nage ura con tenkan,,,
3,tachi waza,ushiro ryote dori kokyu nage ,,,
3,tachi waza,ushiro ryote dori shiho nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=cL2Dh00IPIPymk4J&amp;clip=UgkxuC5YtguMLPebnh2mF16zGGDhpjWQNPDV&amp;clipt=EOD1Khicvyw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=702,
3,tachi waza,yokomen uchi kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=uyXQ1kEoqUecJdTT&amp;clip=Ugkx-dgmAdBJqEw7TiqZ9G-UcHjeDu-HxGjv&amp;clipt=EM_YfRijvYAB"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=2082,
2,hammi handachi,katate dori kote gaeshi,,,
2,hammi handachi,katate dori shihonage,,,
2,hammi handachi,shomen uchi irimi nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=ZZMxKeqAmJB4-5_T&amp;clip=Ugkxr0iJVc5ThH70sNzte8_H9fHbgeWP6pw5&amp;clipt=ENXuUBiUj1I"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1326,
2,suwari waza,kata dori ikkyo omote ,,,
2,suwari waza,kata dori ikkyo ura ,,,
2,suwari waza,kata dori nikyo omote ,,,
2,suwari waza,kata dori nikyo ura ,,,
2,suwari waza,yokomen uchi gokyo ,,,
2,tachi waza,ushiro ryote dori irimi nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/0sK5cjZ8g28?si=E3xbR0WFlEKxiNC-&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1127,
2,tachi waza,kata dori shiho nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=mlzehlgLl60560Xx&amp;clip=UgkxvQnJJq3lGYpnFjVk9ewJk7KMMucBuFGN&amp;clipt=EKP-Jhjrhyg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=639,
2,tachi waza,morote dori ikkyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/LgIcPJYY9Qs?si=3MIVvnssCsnOHsOl&amp;clip=UgkxYEpWqJeeISbGMn6Gyj76kiBeCQdmol4Q&amp;clipt=EI3JBBi6rAU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
2,tachi waza,morote dori nikyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/LgIcPJYY9Qs?si=xCRPVsFClOhH-xsD&amp;clip=Ugkxjx_um3Flu-maUN4_BgnTKywl0SM4cdY3&amp;clipt=ELXBBxiQnQg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
2,tachi waza,ushiro ryote dori kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/O5mimyLvZfk?si=HAsyy9rPCRWGp4Pr&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=2148,
2,tachi waza,yokomen uchi gokyo,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/P8bb1oN-6eU?si=jMGJMX-Pr3CL9E88"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
